ImageName,Error_px,PredX,PredY,GT_X,GT_Y,Category
IDRiD_033,191.873115566679,264,259,78.6865671641791,209.258426966292,WrongSide
IDRiD_095,156.904410100001,288,201,363.223880597015,338.696629213483,Other
IDRiD_102,153.69916110536,271,292,118.44776119403,273.258426966292,WrongSide
IDRiD_072,143.949591080741,254,235,369.910447761194,320.359550561798,WrongSide
IDRiD_037,139.534213744508,301,188,395.462686567164,290.696629213483,Other
IDRiD_061,133.85278128553,303,187,395.940298507463,283.325842696629,Other
IDRiD_067,122.219650662617,313,198,378.029850746269,301.483146067416,Other
IDRiD_036,71.6307995123289,324,225,366.328358208955,282.786516853933,SlightOff
IDRiD_042,66.6249802882236,322,215,348.89552238806,275.955056179775,SlightOff
IDRiD_085,66.0653736839507,335,232,367.641791044776,289.438202247191,SlightOff
IDRiD_020,65.370699854278,315,266,350.208955223881,321.078651685393,SlightOff
IDRiD_004,59.4517603109037,296,222,344,257.078651685393,SlightOff
IDRiD_063,54.4294096827723,318,215,337.313432835821,265.887640449438,SlightOff
IDRiD_101,51.3145841318347,314,265,346.268656716418,304.898876404494,SlightOff
IDRiD_028,50.5918850867733,306,256,355.223880597015,244.314606741573,SlightOff
IDRiD_083,48.5020370342762,312,217,331.940298507463,261.213483146067,SlightOff
IDRiD_022,48.1217700358538,348,198,374.44776119403,238.202247191011,SlightOff
IDRiD_070,45.7699492043452,310,225,331.940298507463,265.168539325843,SlightOff
IDRiD_035,45.0377036073092,323,270,339.940298507463,311.730337078652,SlightOff
IDRiD_054,42.9838909229217,325,213,340.417910447761,253.123595505618,SlightOff
