Parameter,Value,SuccessRate,MeanError,MedianError
thresholdPercentile,0.85,50.4854368932039,49.4928129161768,39.7691923295181
thresholdPercentile,0.9,66.9902912621359,37.1087590250995,17.1612443898753
thresholdPercentile,0.95,80.5825242718447,25.9826560077037,9.82917210182911
thresholdPercentile,0.97,91.2621359223301,19.0640508876686,8.66075883119818
thresholdPercentile,0.99,97.0873786407767,9.95295045865678,7.25580608931783
weightVesselDensity,0,83.495145631068,21.7058676048322,9.63206167003513
weightVesselDensity,0.15,81.5533980582524,24.6971168424469,9.82917210182911
weightVesselDensity,0.3,80.5825242718447,25.9826560077037,9.82917210182911
weightVesselDensity,0.45,77.6699029126214,29.9397467048475,10.5188560248985
weightVesselDensity,0.6,76.6990291262136,30.9403334971728,10.8772558137207
weightLesionPenalty,0.1,80.5825242718447,25.9826560077037,9.82917210182911
weightLesionPenalty,0.3,80.5825242718447,25.9826560077037,9.82917210182911
weightLesionPenalty,0.6,80.5825242718447,25.9826560077037,9.82917210182911
weightLesionPenalty,1,80.5825242718447,25.9826560077037,9.82917210182911
weightLesionPenalty,1.5,80.5825242718447,25.9826560077037,9.82917210182911
