ImageName,PredX,PredY,GT_X_512,GT_Y_512,Error_px,Success
IDRiD_089,201,502,236.179104477612,232.089887640449,272.1930163428,0
IDRiD_115,97,459,260.776119402985,269.303370786517,250.614102599312,0
IDRiD_131,439,185,254.925373134328,309.033707865169,221.963575711237,0
IDRiD_081,148,302,257.671641791045,127.820224719101,205.831151991256,0
IDRiD_393,125,238,194.507462686567,403.23595505618,179.26016906288,0
IDRiD_224,405,250,238.805970149254,211.23595505618,170.65493470286,0
IDRiD_095,180,182,274.149253731343,300.224719101124,151.132942089766,0
IDRiD_404,158,352,176.238805970149,213.932584269663,139.266885258738,0
IDRiD_162,332,408,278.686567164179,296.089887640449,123.960458893418,0
IDRiD_047,183,221,221.373134328358,337.977528089888,123.11067994371,0
IDRiD_165,125,244,213.373134328358,321.797752808989,117.738274206592,0
IDRiD_372,130,221,215.522388059701,282.067415730337,105.087145376663,0
IDRiD_022,134,286,216.477611940299,289.438202247191,82.5492441277754,0
IDRiD_067,179,277,165.014925373134,212.674157303371,65.828537511861,0
IDRiD_019,250,236,225.910447761194,292.134831460674,61.0853978474762,0
IDRiD_008,272,176,262.089552238806,236.224719101124,61.034693131338,0
IDRiD_018,173,220,181.611940298507,268.584269662921,49.3416332764179,0
IDRiD_171,215,306,217.791044776119,354.696629213483,48.7765479272341,0
IDRiD_206,303,261,301.014925373134,307.595505617977,46.6377707986692,0
IDRiD_148,197,219,232.597014925373,247.730337078652,45.7447236328976,0
IDRiD_195,192,239,185.55223880597,278.651685393258,40.1725002824218,0
IDRiD_253,150,264,184.716417910448,282.067415730337,39.1364431662573,1
IDRiD_368,187,252,214.208955223881,224.179775280899,38.9139068688358,1
IDRiD_377,247,219,260.298507462687,253.123595505618,36.6233541741627,1
IDRiD_149,267,153,241.910447761194,179.595505617978,36.5623652219006,1
IDRiD_124,214,299,207.522388059701,333.842696629213,35.4397088707639,1
IDRiD_288,286,244,287.164179104478,279.370786516854,35.3899399802848,1
