ImageName,PredX,PredY,GT_X_512,GT_Y_512,Error_px,Success
IDRiD_033,264,256,78.69,209.26,191.12,0
IDRiD_095,290,204,363.22,338.70,153.31,0
IDRiD_102,269,291,118.45,273.26,151.59,0
IDRiD_072,255,233,369.91,320.36,144.35,0
IDRiD_037,299,187,395.46,290.70,141.63,0
IDRiD_061,301,185,395.94,283.33,136.68,0
IDRiD_067,312,199,378.03,301.48,121.91,0
IDRiD_036,323,223,366.33,282.79,73.84,0
IDRiD_020,316,267,350.21,321.08,63.99,0
IDRiD_042,322,218,348.90,275.96,63.89,0
IDRiD_085,336,235,367.64,289.44,62.97,0
IDRiD_004,299,223,344.00,257.08,56.45,0
IDRiD_063,316,217,337.31,265.89,53.33,0
IDRiD_028,304,259,355.22,244.31,53.29,0
IDRiD_070,310,217,331.94,265.17,52.93,0
IDRiD_101,315,264,346.27,304.90,51.48,0
IDRiD_083,312,216,331.94,261.21,49.42,0
IDRiD_022,347,198,374.45,238.20,48.68,0
IDRiD_035,322,270,339.94,311.73,45.42,0
IDRiD_054,322,212,340.42,253.12,45.06,0
IDRiD_047,134,245,117.97,209.98,38.52,1
IDRiD_025,325,239,348.90,265.89,35.97,1
IDRiD_087,333,244,360.60,226.70,32.57,1
IDRiD_064,320,275,328.36,243.60,32.50,1
IDRiD_074,119,258,118.45,289.44,31.44,1
IDRiD_056,326,217,347.10,239.64,30.95,1
IDRiD_091,353,218,378.39,233.53,29.76,1
IDRiD_027,350,226,371.70,246.29,29.71,1
IDRiD_032,344,247,351.16,273.98,27.91,1
IDRiD_062,115,241,105.55,215.37,27.32,1
IDRiD_046,360,231,384.72,240.90,26.62,1
IDRiD_088,333,264,346.63,285.48,25.44,1
IDRiD_081,102,240,87.16,220.76,24.29,1
IDRiD_084,128,269,127.40,245.57,23.43,1
IDRiD_043,306,226,318.45,207.28,22.48,1
IDRiD_049,374,278,381.97,295.55,19.28,1
IDRiD_103,328,277,335.04,294.83,19.17,1
IDRiD_057,96,234,85.85,248.27,17.51,1
IDRiD_077,351,279,356.54,295.55,17.45,1
IDRiD_034,117,204,113.55,187.69,16.67,1
IDRiD_010,341,285,352.00,297.53,16.67,1
IDRiD_018,74,230,62.09,240.90,16.14,1
IDRiD_015,359,253,367.28,266.61,15.93,1
IDRiD_068,383,250,394.15,258.52,14.03,1
IDRiD_058,328,236,335.52,246.29,12.75,1
IDRiD_039,334,308,341.25,318.38,12.67,1
IDRiD_082,376,270,382.45,280.63,12.43,1
IDRiD_076,88,244,84.42,255.82,12.35,1
IDRiD_006,348,259,353.79,269.84,12.29,1
IDRiD_007,103,259,100.54,247.01,12.24,1
IDRiD_009,378,278,386.99,286.02,12.05,1
IDRiD_097,377,262,380.66,273.26,11.84,1
IDRiD_016,377,232,386.99,238.20,11.75,1
IDRiD_065,315,244,324.78,248.99,10.98,1
IDRiD_094,107,250,99.70,257.80,10.68,1
IDRiD_066,99,237,95.64,247.01,10.56,1
IDRiD_080,119,237,116.66,247.01,10.28,1
IDRiD_052,114,242,105.55,247.73,10.21,1
IDRiD_073,104,265,96.12,271.28,10.08,1
IDRiD_017,383,241,392.36,237.48,10.00,1
IDRiD_051,365,292,368.60,300.94,9.64,1
IDRiD_071,159,253,159.64,262.47,9.49,1
IDRiD_075,129,247,122.03,253.12,9.28,1
IDRiD_014,99,285,97.43,294.11,9.25,1
IDRiD_069,121,315,116.66,323.06,9.15,1
IDRiD_005,331,207,339.10,211.24,9.14,1
IDRiD_092,101,253,93.85,258.52,9.03,1
IDRiD_011,112,246,104.12,248.99,8.43,1
IDRiD_093,90,245,86.69,252.40,8.11,1
IDRiD_079,119,260,111.28,260.49,7.73,1
IDRiD_098,108,244,102.33,248.99,7.55,1
IDRiD_055,81,289,77.25,295.55,7.55,1
IDRiD_045,104,224,101.01,230.83,7.46,1
IDRiD_040,333,206,339.94,204.58,7.08,1
IDRiD_003,131,254,131.46,247.01,7.00,1
IDRiD_008,111,228,106.87,233.53,6.90,1
IDRiD_002,371,227,377.07,230.11,6.83,1
IDRiD_024,114,202,107.70,204.58,6.81,1
IDRiD_086,85,201,81.79,206.56,6.42,1
IDRiD_096,99,226,94.81,230.83,6.40,1
IDRiD_031,127,238,124.78,232.09,6.31,1
IDRiD_030,133,257,128.72,252.40,6.28,1
IDRiD_029,125,248,122.99,253.66,6.01,1
IDRiD_012,83,205,77.25,206.56,5.95,1
IDRiD_023,109,189,103.28,190.38,5.88,1
IDRiD_026,117,272,114.87,277.39,5.80,1
IDRiD_038,119,254,114.87,257.80,5.61,1
IDRiD_019,116,229,114.87,234.25,5.37,1
IDRiD_021,126,257,121.55,254.38,5.16,1
IDRiD_078,114,268,110.45,271.28,4.84,1
IDRiD_001,80,257,77.73,261.21,4.79,1
IDRiD_099,136,234,133.25,237.48,4.44,1
IDRiD_048,119,234,115.34,236.22,4.28,1
IDRiD_050,94,206,90.75,208.54,4.13,1
IDRiD_044,118,196,114.87,197.21,3.36,1
IDRiD_090,137,234,133.73,233.53,3.30,1
IDRiD_089,134,231,133.73,234.25,3.26,1
IDRiD_100,112,229,109.01,229.39,3.01,1
IDRiD_053,123,270,120.24,270.56,2.82,1
IDRiD_013,104,221,101.49,220.04,2.68,1
IDRiD_041,139,268,138.63,270.56,2.59,1
IDRiD_059,104,212,101.97,210.70,2.41,1
IDRiD_060,139,206,137.67,205.30,1.50,1
