ImageName,PredX,PredY,GT_X_512,GT_Y_512,Error_px,Success
IDRiD_089,352,476,57.1940298507463,211.23595505618,396.245579824755,0
IDRiD_115,260,430,99.7014925373134,230.831460674157,255.663291365723,0
IDRiD_081,301,276,84.8955223880597,172.943820224719,239.419551068422,0
IDRiD_372,286,192,74.1492537313433,259.056179775281,222.209968139689,0
IDRiD_165,279,216,86.6865671641791,282.067415730337,203.34542008706,0
IDRiD_224,250,225,62.5671641791045,176.898876404494,193.50655295109,0
IDRiD_131,251,167,101.014925373134,287.460674157303,192.370207228818,0
IDRiD_393,279,211,345.313432835821,361.52808988764,164.487620262719,0
IDRiD_047,336,198,374.805970149254,333.303370786517,140.758322899282,0
IDRiD_404,309,324,341.253731343284,196.494382022472,131.521807322573,0
IDRiD_095,335,156,415.164179104478,253.662921348315,126.350076445493,0
IDRiD_162,167,386,121.194029850746,278.651685393258,116.7126709069,0
IDRiD_022,281,257,387.34328358209,304.179775280899,116.339267483412,0
IDRiD_007,384,203,408.358208955224,253.662921348315,56.2143570900874,0
IDRiD_368,332,228,357.014925373134,189.662921348315,45.7763922887004,0
IDRiD_236,331,242,346.626865671642,279.370786516854,40.5064762181038,0
IDRiD_282,132,258,130.149253731343,225.438202247191,32.6143516668013,1
IDRiD_382,325,214,348.417910447761,211.955056179775,23.5070271401391,1
IDRiD_357,374,228,390.089552238806,240.898876404494,20.6217046759885,1
IDRiD_183,141,248,128.358208955224,233.52808988764,19.2159065130947,1
IDRiD_019,101,211,91.5820895522388,227.415730337079,18.925465376094,1
IDRiD_191,331,243,348.417910447761,239.640449438202,17.738945412383,1
IDRiD_133,94,221,81.7910447761194,208.539325842697,17.4449702812361,1
IDRiD_031,320,265,328.716417910448,279.370786516854,16.807600849097,1
IDRiD_100,368,267,364.537313432836,282.786516853933,16.1618165019257,1
IDRiD_033,381,262,387.820895522388,275.955056179775,15.532810715,1
IDRiD_177,357,296,356.059701492537,311.011235955056,15.0406571060412,1
IDRiD_359,150,256,138.149253731343,247.011235955056,14.8740736242549,1
IDRiD_413,337,271,346.626865671642,282.067415730337,14.6684775490828,1
IDRiD_157,334,223,347.10447761194,228.85393258427,14.3525558763245,1
IDRiD_138,357,301,357.850746268657,314.966292134831,13.9921794302778,1
IDRiD_169,343,266,348.417910447761,278.651685393258,13.7629537857957,1
IDRiD_160,325,265,329.671641791045,277.932584269663,13.7504899154819,1
IDRiD_023,395,256,404.417910447761,265.887640449438,13.6551261751555,1
IDRiD_154,99,259,88.955223880597,267.865168539326,13.3973408003074,1
IDRiD_189,357,334,357.373134328358,347.325842696629,13.3310657039227,1
IDRiD_107,371,301,376.238805970149,312.988764044944,13.0834074811652,1
