ImageName,Dice,IoU,PredArea,GTArea
IDRiD_68,0,0,5668,4124
IDRiD_62,0.549422336328626,0.378761061946903,3414,3597
IDRiD_79,0.594611271081859,0.42309380945412,5598,4126
IDRiD_66,0.75819877645171,0.610563721531255,5746,4225
IDRiD_80,0.798469130828885,0.664543168482816,5757,4172
IDRiD_74,0.830040674026729,0.709461137323069,3690,3194
IDRiD_72,0.833474218089603,0.714492753623188,4654,3627
IDRiD_55,0.834466588511137,0.715952524642929,4565,3965
IDRiD_81,0.837019671796963,0.719719544259422,5240,4571
IDRiD_76,0.865683229813665,0.763175906913073,5700,4604
IDRiD_70,0.876324300211888,0.779872965462485,4217,4750
IDRiD_58,0.887470223916151,0.797704693388147,5207,5288
IDRiD_73,0.891215293582157,0.803776683087028,5748,5237
IDRiD_71,0.894011406844107,0.808336914482166,4507,3909
IDRiD_67,0.901271956390067,0.820286659316428,3787,4468
IDRiD_77,0.901899066205015,0.821326199120963,5182,4349
IDRiD_78,0.905335949911223,0.827044562062489,5715,4986
IDRiD_75,0.905955188679245,0.828078684990569,3487,3297
IDRiD_61,0.906187242995123,0.828466515125022,5686,4771
IDRiD_60,0.914082182260447,0.84176,5704,5807
IDRiD_57,0.914686928921804,0.842786246012052,5428,4969
IDRiD_65,0.918755662941709,0.849720670391061,4877,5056
IDRiD_59,0.925015752993069,0.860492379835873,5737,5372
IDRiD_63,0.928440686829949,0.866438913291036,5443,6030
IDRiD_69,0.928959223749567,0.867342536669543,4455,4202
IDRiD_64,0.93403604216253,0.876236044657097,5685,6079
IDRiD_56,0.942264499933941,0.89083187609293,3814,3755
